6, Дом, Строение, 9231, 11/3/2003, 9004781, 11/14/2003, 21139263
61175, Дом, Строение, 6335, 8/22/2005, 9011345, 8/25/2005, 21126450
61197, Дом, Строение, 1914-В-РП, 12/17/2004, 3203617, 12/22/2004, 21126458
61201, Дом, Строение, 3485, 12/25/2003, 4004117, 1/15/2004, 21129651
61203, Дом, Строение, 3485, 12/25/2003, 4004112, 1/15/2004, 21131333
61204, Дом, Строение, 64-РП, 1/20/2005, 7302560, 2/2/2005, 21126463
61287, Дом, Строение, 768-РП, 6/20/2005, 7302887, 6/20/2005, 21131851
62007, Дом, Строение, 677, 3/31/2005, 2206407, 4/5/2005, 21148634
62008, Дом, Строение, 3055, 9/13/2004, 2204370, 9/22/2004, 21149912
62015, Дом, Строение, 2117, 7/30/2003, 2201947, 8/12/2003, 21148638
62023, Дом, Строение, 3889-р, 9/7/2005, 1013439, 9/16/2005, 21126476
62024, Дом, Строение, 3235-р, 8/1/2005, 1012424, 8/10/2005, 21148642
62033, Дом, Строение, 3889-р, 9/7/2005, 1013599, 9/21/2005, 21149917
62034, Дом, Строение, 2034, 8/15/2006, 2211513, 8/25/2006, 21148646
62037, Дом, Строение, 1808, 7/18/2005, 2207390, 7/19/2005, 21126480
62046, Дом, Строение, 2830, 11/15/2005, 2208855, 11/18/2005, 21126484
62047, Дом, Строение, 3486-р, 6/21/2003, 1002603, 7/14/2003, 21149924
62052, Дом, Строение, 2321, 9/18/2006, 2211719, 9/25/2006, 21148653
62055, Дом, Строение, 2830, 11/15/2005, 2208982, 11/18/2005, 21131857
63001, Дом, Строение, 3055, 9/13/2004, 2203982, 9/20/2004, 21148657
63003, Дом, Строение, 2043, 7/21/2003, 2201582, 7/29/2003, 21217603
63015, Дом, Строение, 3055, 9/13/2004, 2203906, 9/17/2004, 21148665
63017, Дом, Строение, 3055, 9/13/2004, 2211322, 8/11/2006, 21149936
63024, Дом, Строение, 3804, 11/22/2004, 2205283, 11/24/2004, 21148669
63031, Дом, Строение, 5, 1/9/2007, 2212580, 1/15/2007, 21131873
63035, Дом, Строение, 1807, 7/18/2005, 2207603, 7/19/2005, 21175342
63036, Дом, Строение, 2043, 7/21/2003, 2201606, 7/29/2003, 21217608
63037, Дом, Строение, 2044, 7/21/2003, 2201485, 7/29/2003, 21148680
63076, Дом, Строение, , , 0, , 21217611
63079, Дом, Строение, , , 0, , 21217615
63147, Дом, Строение, , , 0, , 21129663
63192, Дом, Строение, , , 0, , 21131342
63199, Дом, Строение, , , 0, , 21130695
63206, Дом, Строение, , , 0, , 21194818
63210, Дом, Строение, , , 0, , 21130700
63218, Дом, Строение, , , 0, , 21130701
63220, Дом, Строение, , , 0, , 21131350
63221, Дом, Строение, , , 0, , 21148695
63236, Дом, Строение, 761, 4/5/2006, 2210528, 4/19/2006, 21130714
63247, Дом, Строение, , , 0, , 21129673
63252, Дом, Строение, , , 0, , 21131358
63256, Дом, Строение, 5, 1/9/2007, 2212581, 1/15/2007, 21129681
63259, Дом, Строение, , , 0, , 21181491
63261, Дом, Строение, 2830, 11/15/2005, 2208995, 11/21/2005, 21126488
63265, Дом, Строение, 967, 4/26/2000, 2200093, 4/24/2000, 21172517
63266, Дом, Строение, 3082, 9/29/1999, 2200059, 2/10/2000, 21131882
63272, Дом, Строение, 966, 5/26/2000, 2200092, 4/24/2000, 21131371
63280, Дом, Строение, 2043, 7/21/2003, 2201479, 7/29/2003, 21148707
63289, Дом, Строение, 829, 4/10/2001, 2200400, 4/19/2001, 21148710
63301, Дом, Строение, , , 0, , 21130725
63302, Дом, Строение, , , 0, , 21127060
63306, Дом, Строение, 817, 4/9/2001, 2200383, 4/4/2001, 21148718
63325, Дом, Строение, 214, 1/30/2002, 2200599, 2/13/2002, 21148726
63329, Дом, Строение, 198, 1/30/2002, 2200603, 2/13/2002, 21148730
63350, Дом, Строение, 247, 2/5/2002, 2200624, 2/13/2002, 21129694
63355, Дом, Строение, 300, 2/12/2002, 2200629, 2/14/2002, 21131902
63362, Дом, Строение, 546, 3/5/2002, 2200635, 3/12/2002, 21129707
63364, Дом, Строение, 543, 3/5/2002, 2200637, 3/12/2002, 21148742
63367, Дом, Строение, 550, 3/5/2002, 2200640, 3/12/2002, 21132449
63377, Дом, Строение, 990, 4/19/2002, 2200721, 5/13/2002, 21148749
63385, Дом, Строение, 997, 4/19/2002, 2200728, 5/13/2002, 21148752
63388, Дом, Строение, , , 0, , 21131906
63393, Дом, Строение, 1070, 4/25/2002, 2200765, 5/23/2002, 21148756
63400, Дом, Строение, 1048, 4/25/2002, 2200753, 5/23/2002, 21130754
63401, Дом, Строение, 1047, 4/25/2002, 2200751, 5/24/2002, 21148760
63403, Дом, Строение, 1045, 4/25/2002, 2200750, 5/28/2002, 21129719
63407, Дом, Строение, 1076, 4/25/2002, 2200760, 5/28/2002, 21129725
63412, Дом, Строение, 1051, 4/25/2002, 2200744, 5/28/2002, 21130763
63413, Дом, Строение, 1053, 4/25/2002, 2200747, 5/28/2002, 21149222
63416, Дом, Строение, 1054, 4/25/2002, 2200748, 5/28/2002, 21130767
63423, Дом, Строение, 1079, 4/25/2002, 2200756, 5/28/2002, 21129733
63427, Дом, Строение, 1082, 4/25/2002, 2200772, 5/29/2002, 21129738
63435, Дом, Строение, 2010, 8/7/2002, 2200823, 10/18/2002, 21127075
63436, Дом, Строение, 1696, 6/10/2002, 2200857, 7/23/2002, 21131910
63445, Дом, Строение, 2105, 8/21/2002, 2200885, 9/27/2002, 21129742
63453, Дом, Строение, 2917, 11/10/2002, 2200952, 11/25/2002, 21188452
63455, Дом, Строение, 3421, 12/23/2002, 2200966, 3/14/2003, 21127085
63459, Дом, Строение, 4, 1/8/2003, 2200996, 2/14/2003, 21127089
63460, Дом, Строение, 5, 1/8/2003, 2200997, 3/14/2003, 21129755
63461, Дом, Строение, 2980, 12/14/2002, 2201000, 12/30/2002, 21131919
63468, Дом, Строение, , , 0, , 21132454
63474, Дом, Строение, , , 0, , 21132457
63480, Дом, Строение, 721, 3/25/2003, 2201122, 3/26/2003, 21129766
63492, Дом, Строение, 2322, 9/18/2006, 2212002, 10/30/2006, 21131923
64007, Дом, Строение, 858-В-РП, 7/23/2004, 3202819, 8/5/2004, 21131926
64012, Дом, Строение, 7419-р, 11/17/2004, 1008041, 12/2/2004, 21217619
64016, Дом, Строение, 2792-р, 10/1/2001, 1000701, 10/3/2001, 21129776
64018, Дом, Строение, 7416-р, 11/17/2004, 1007666, 12/2/2004, 21131931
64036, Дом, Строение, 1291-В-РП, 12/5/2003, 3202031, 12/23/2003, 21129788
64048, Дом, Строение, 7417-р, 11/17/2004, 1007673, 11/30/2004, 21131939
64051, Дом, Строение, 918-В-РП, 9/4/2003, 3200931, 9/5/2003, 21129796
64054, Дом, Строение, 1116-В-РЗП, 11/25/1999, 3200099, 1/20/2000, 21131944
64057, Дом, Строение, 2259-В-РП, 11/1/2005, 3205536, 11/17/2005, 21243141
64059, Дом, Строение, 2781-В-РП, 12/28/2005, 3206308, 1/16/2006, 21131946
64065, Дом, Строение, 2259-В-РП, 11/1/2005, 3205513, 11/17/2005, 21129801
64068, Дом, Строение, 124-В-РП, 2/28/2001, 3200075, 3/2/2001, 21188458
64069, Дом, Строение, 1800-В-РП, 12/1/2004, 3203388, 12/6/2004, 21129805
64070, Дом, Строение, , , 0, , 21217622
64071, Дом, Строение, , , 0, , 21149973
64077, Дом, Строение, , , 0, , 21218058
64087, Дом, Строение, 1332-В-РЗП, 12/31/1999, 3200073, 2/14/2000, 21130778
64089, Дом, Строение, 113-В-РП, 2/15/2000, 3200072, 2/16/2000, 21149232
64090, Дом, Строение, , , 0, , 21233183
64099, Дом, Строение, 2259-В-РП, 11/1/2005, 3205435, 11/16/2005, 21131955
64106, Дом, Строение, 811-В-РП, 8/29/2000, 3200253, 8/31/2000, 21149984
64118, Дом, Строение, 37-В-РП, 1/23/2001, 3200331, 11/22/2001, 21127102
64119, Дом, Строение, , , 0, , 21233186
64121, Дом, Строение, , , 0, , 21233049
64122, Дом, Строение, , , 0, , 21218065
64127, Дом, Строение, 2546-В-РП, 12/6/2005, 3206202, 12/20/2005, 21130323
64129, Дом, Строение, , , 0, , 21132485
64141, Дом, Строение, 511-В-РП, 3/27/2006, 3206759, 4/11/2006, 21130783
64142, Дом, Строение, 456-В-РП, 5/5/2004, 3202601, 5/7/2004, 21149996
64143, Дом, Строение, , , 0, , 21149241
64148, Дом, Строение, 1747-В-РП, 11/29/2004, 3200689, 12/6/2004, 21127106
64150, Дом, Строение, , , 0, , 21149244
64151, Дом, Строение, , , 0, , 21127110
65004, Дом, Строение, 1609-В-РП, 11/11/2004, 3304887, 11/22/2004, 21149248
65015, Дом, Строение, 3028-p, 7/4/2005, 1012144, 7/18/2005, 21149251
65016, Дом, Строение, 1393-В-РП, 12/24/2003, 3302332, 1/5/2004, 21127115
65023, Дом, Строение, , , 0, , 21175685
65024, Дом, Строение, 1669-В-РП, 8/18/2005, 3306084, 8/31/2005, 21218071
65025, Дом, Строение, 1669-В-РП, 8/18/2005, 3306085, 8/31/2005, 21175692
65032, Дом, Строение, 1393-В-РП, 12/24/2003, 3302184, 1/5/2004, 21132489
65033, Дом, Строение, 1383-В-РЗП, 12/4/1998, 3300083, 3/23/2000, 21131959
65040, Дом, Строение, 1294-В-РП, 9/29/2004, 3304391, 10/8/2004, 21149262
65050, Дом, Строение, 1294-В-РП, 9/29/2004, 3304404, 10/8/2004, 21130332
65052, Дом, Строение, 1294-В-РП, 9/29/2004, 3304407, 10/8/2004, 21149269
65059, Дом, Строение, 106-В-РП, 2/14/2000, 3300033, 2/17/2000, 21130335
65086, Дом, Строение, 107-B-PП, 2/14/2000, 3300050, 4/5/2001, 21149281
65089, Дом, Строение, 668-В-РП, 7/23/2002, 3300372, 7/25/2002, 21150007
65090, Дом, Строение, 553-В-РП, 7/18/2001, 3300244, 7/19/2001, 21149285
65094, Дом, Строение, 975-В-РП, 10/24/2002, 3300292, 10/25/2002, 21149287
65099, Дом, Строение, 1236-В-РП, 12/20/1999, 3300022, 12/22/1999, 21149291
65111, Дом, Строение, 1322-В-РП, 12/30/2002, 3300429, 1/5/2003, 21149295
65113, Дом, Строение, 708-В-РП, 7/11/2003, 3300500, 7/15/2003, 21130364
67015, Дом, Строение, 3289, 12/9/2003, 4002414, 12/19/2003, 21127119
67024, Дом, Строение, 3437, 12/23/2003, 4003897, 1/14/2004, 21127127
67037, Дом, Строение, 3289, 12/9/2003, 4002391, 12/19/2003, 21127135
67042, Дом, Строение, 3437, 12/23/2003, 4003876, 1/14/2004, 21127140
67046, Дом, Строение, 3289, 12/9/2003, 4002421, 12/19/2003, 21131983
67049, Дом, Строение, 2580, 11/2/2004, 4007591, 12/22/2004, 21149306
67055, Дом, Строение, 3437, 12/23/2003, 4003873, 1/14/2004, 21127145
67056, Дом, Строение, 3485, 12/25/2003, 4004116, 1/15/2004, 21149310
67063, Дом, Строение, 3437, 12/23/2003, 4003888, 1/14/2004, 21132497
67071, Дом, Строение, 3437, 12/23/2003, 4003862, 1/14/2004, 21132506
67080, Дом, Строение, 3289, 12/9/2003, 4002395, 12/19/2003, 21132515
67085, Дом, Строение, 3437, 12/23/2003, 4003827, 1/14/2004, 21130802
67092, Дом, Строение, 3627, 12/31/2003, 4003645, 1/13/2004, 21131995
67107, Дом, Строение, 3485, 12/25/2003, 4004126, 1/15/2004, 21127152
67108, Дом, Строение, 2580, 11/2/2004, 4007583, 12/22/2004, 21149318
67109, Дом, Строение, 2471, 10/21/2004, 4006811, 11/1/2004, 21130383
67114, Дом, Строение, 2260, 10/26/2005, 4009868, 11/9/2005, 21130387
67119, Дом, Строение, 2260, 10/26/2005, 4009867, 11/9/2005, 21130391
67131, Дом, Строение, 3437, 12/23/2003, 4003927, 1/14/2004, 21127170
67132, Дом, Строение, 3437, 12/23/2003, 4003922, 1/14/2004, 21149326
67136, Дом, Строение, 3289, 12/9/2003, 4002407, 12/19/2003, 21149330
67143, Дом, Строение, 3485, 12/25/2003, 4004107, 1/15/2004, 21127174
67149, Дом, Строение, 3570, 12/30/2003, 4003286, 1/8/2004, 21149332
67157, Дом, Строение, 3485, 12/25/2003, 4004132, 1/15/2004, 21127186
67165, Дом, Строение, 872-р, 3/2/2006, 1015824, 3/28/2006, 21233188
67166, Дом, Строение, 872-р, 3/2/2006, 1015825, 3/28/2006, 21150014
67167, Дом, Строение, 872-р, 3/2/2006, 1015827, 3/28/2006, 21150019
67170, Дом, Строение, 1664, 8/17/2006, 4011671, 8/22/2006, 21127190
67171, Дом, Строение, 1664, 8/17/2006, 4011676, 8/22/2006, 21124922
67187, Дом, Строение, 3437, 12/23/2003, 4003913, 1/14/2004, 21127199
67189, Дом, Строение, 1664, 8/17/2006, 4011672, 8/22/2006, 21133993
67203, Дом, Строение, 3485, 12/25/2003, 4004086, 1/15/2004, 21124939
67228, Дом, Строение, 3289, 12/9/2003, 4002417, 12/19/2003, 21132008
67230, Дом, Строение, 3437, 12/23/2003, 4003934, 1/14/2004, 21132544
67235, Дом, Строение, 3289, 12/9/2003, 4002493, 12/22/2003, 21130822
67236, Дом, Строение, 2839, 12/22/1999, 4000035, 1/20/2000, 21132549
67239, Дом, Строение, 3437, 12/23/2003, 4003789, 1/14/2004, 21132015
67240, Дом, Строение, 3289, 12/9/2003, 4002661, 12/24/2003, 21130827
67241, Дом, Строение, 2471, 10/21/2004, 4006440, 10/27/2004, 21132553
67252, Дом, Строение, 3485, 12/25/2003, 4004135, 1/15/2004, 21130831
67262, Дом, Строение, 1218, 6/30/1998, 4000045, 1/21/2000, 21132023
67264, Дом, Строение, 1940/1, 9/30/1998, 4000048, 1/21/2000, 21121537
67268, Дом, Строение, 2844, 12/22/1999, 4000034, 1/20/2000, 21132027
67269, Дом, Строение, 1219, 6/30/1998, 4000046, 1/21/2000, 21121540
67277, Дом, Строение, 3485, 12/25/2003, 4004138, 1/15/2004, 21132032
67281, Дом, Строение, 188, 1/29/1999, 4000107, 2/1/2000, 21181496
67293, Дом, Строение, 2302, 12/2/1998, 4000039, 1/21/2000, 21132045
67304, Дом, Строение, 126, 1/25/1999, 4000106, 1/25/2000, 21132049
67317, Дом, Строение, 643, 4/1/1999, 4000054, 1/21/2000, 21132578
67322, Дом, Строение, 1017, 5/6/2004, 4004946, 5/19/2004, 21175699
67324, Дом, Строение, 1116, 6/1/1999, 4000065, 1/21/2000, 21124947
67342, Дом, Строение, 1432, 7/1/1999, 4000087, 1/25/2000, 21134005
67357, Дом, Строение, 3287, 12/9/2003, 4002225, 12/18/2003, 21132597
67366, Дом, Строение, 2106, 9/30/1999, 4000093, 1/25/2000, 21122773
67369, Дом, Строение, 2616, 11/30/1999, 4000075, 1/24/2000, 21132605
67374, Дом, Строение, 2916, 12/31/1999, 4000148, 3/2/2000, 21150025
67375, Дом, Строение, 1927, 9/30/1998, 4000049, 1/21/2000, 21132609
67380, Дом, Строение, 2919, 12/31/1999, 4000140, 3/13/2000, 21181503
67382, Дом, Строение, 687, 3/31/2000, 4000130, 4/11/2000, 21132614
67391, Дом, Строение, 682, 3/31/2000, 4000144, 5/19/2000, 21122786
67400, Дом, Строение, 1574, 6/30/2000, 4000210, 8/24/2000, 21218088
67404, Дом, Строение, 2395, 9/19/2000, 4000212, 10/18/2000, 21132622
67408, Дом, Строение, 2564, 11/1/2004, 4007006, 11/4/2004, 21150037
67432, Дом, Строение, 3530, 12/29/2000, 4000326, 2/6/2001, 21233192
67438, Дом, Строение, 1461, 6/6/2001, 4000365, 6/9/2001, 21150044
67448, Дом, Строение, 1359, 5/31/2001, 4000195, 6/9/2001, 21132079
67449, Дом, Строение, 444, 2/28/2001, 4000219, 4/9/2001, 21124952
67452, Дом, Строение, 1120, 6/1/1999, 4000071, 1/24/2000, 21122790
67457, Дом, Строение, 803, 3/30/2001, 4000371, 5/28/2001, 21122793
67469, Дом, Строение, 1728, 6/29/2001, 4000383, 7/17/2001, 21122801
67470, Дом, Строение, 1736, 6/29/2001, 4000378, 7/17/2001, 21132635
67473, Дом, Строение, 2524, 9/10/2001, 4000431, 9/17/2001, 21122805
67474, Дом, Строение, 2368, 8/27/2001, 4000517, 12/17/2001, 21133179
67481, Дом, Строение, 1905, 7/16/2001, 4000413, 10/3/2001, 21122809
67495, Дом, Строение, 2698, 9/28/2001, 4000439, 10/16/2001, 21133197
67513, Дом, Строение, 3745, 12/29/2001, 4000509, 1/17/2002, 21127223
67524, Дом, Строение, 3659, 12/28/2001, 4000518, 1/16/2002, 21133206
67525, Дом, Строение, 3655, 12/28/2001, 4000519, 1/9/2002, 21132639
67529, Дом, Строение, 685, 3/31/2000, 4000142, 5/19/2000, 21133209
67530, Дом, Строение, 3738, 12/29/2001, 4000202, 1/17/2002, 21132643
67537, Дом, Строение, 3437, 12/23/2003, 4003907, 1/14/2004, 21127759
67550, Дом, Строение, 1768, 6/28/2002, 4000665, 7/8/2002, 21127772
67558, Дом, Строение, 1919, 9/30/1998, 4000051, 1/21/2000, 21127775
67571, Дом, Строение, 5502, 12/11/2002, 4000752, 12/20/2002, 21124960
67576, Дом, Строение, 2546, 9/13/2002, 4000763, 9/19/2002, 21133218
67579, Дом, Строение, 073-1-241, 8/21/2002, 4000794, 11/11/2002, 21121558
67589, Дом, Строение, 180, 1/30/2003, 4000822, 3/3/2003, 21121571
67594, Дом, Строение, 1218, 6/4/2003, 4000838, 6/9/2003, 21121575
67595, Дом, Строение, 1464, 7/5/1999, 4000003, 7/12/1999, 21132647
67597, Дом, Строение, 836, 4/22/2003, 4000845, 4/25/2003, 21124969
67601, Дом, Строение, 932, 4/30/2003, 4000857, 5/6/2003, 21124973
67602, Дом, Строение, 931, 4/30/2003, 4000858, 5/6/2003, 21121579
67610, Дом, Строение, 1565, 7/3/2003, 4000895, 7/7/2003, 21124976
67611, Дом, Строение, 1567, 7/3/2003, 4000896, 5/16/2007, 21121584
67612, Дом, Строение, 1564, 7/3/2003, 4000897, 7/7/2003, 21132655
67617, Дом, Строение, 2309, 9/11/2003, 4001167, 9/15/2003, 21218099
67624, Дом, Строение, 1898, 8/5/2003, 4000942, 8/11/2003, 21124986
67628, Дом, Строение, 1893, 8/5/2003, 4000946, 8/11/2003, 21124989
67632, Дом, Строение, 1902, 8/5/2003, 4000959, 8/11/2003, 21124994
67634, Дом, Строение, 1906, 8/5/2003, 4000961, 8/11/2003, 21132659
67636, Дом, Строение, 1903, 8/5/2003, 4000963, 8/11/2003, 21124999
67646, Дом, Строение, 1387, 6/16/2004, 4001047, 6/28/2004, 21121601
68015, Дом, Строение, 1358-РП, 7/6/2005, 6005194, 7/19/2005, 21122821
68025, Дом, Строение, 293-РЗП, 12/31/1998, 6000182, 12/31/1998, 21150055
68026, Дом, Строение, 291-РЗП, 12/31/1998, 6000181, 12/31/1998, 21181508
68037, Дом, Строение, 956-РП, 5/14/2004, 6002333, 5/29/2004, 21122829
68068, Дом, Строение, 288-РЗП, 9/29/1999, 6000075, 9/29/1999, 21122850
68078, Дом, Строение, 32-РП, 1/20/2006, 6007312, 1/23/2006, 21122855
68083, Дом, Строение, 146-РЗП, 5/31/2000, 6000419, 5/31/2000, 21122859
68091, Дом, Строение, 1359-РП, 7/6/2005, 6005219, 7/19/2005, 21122862
68102, Дом, Строение, 149-РП, 5/31/2000, 6000414, 5/31/2000, 21132667
68114, Дом, Строение, 1981-РП, 9/21/2005, 6006809, 9/28/2005, 21132670
68117, Дом, Строение, 169-РЗП, 6/30/1999, 6000076, 6/30/1999, 21125021
68120, Дом, Строение, 2039-РП, 9/22/2005, 6007084, 10/7/2005, 21127783
68126, Дом, Строение, 1708-РП, 7/20/2004, 6003231, 8/4/2004, 21132675
68133, Дом, Строение, 570-РЗП, 9/28/2001, 6001110, 10/15/2001, 21127788
68137, Дом, Строение, 707-РЗП, 11/30/2001, 6001244, 12/14/2001, 21127792
68138, Дом, Строение, 649-РП, 4/6/2005, 6004364, 4/15/2005, 21121610
68140, Дом, Строение, 1705-РП, 7/20/2004, 6002835, 8/2/2004, 21121614
68143, Дом, Строение, 112-РП, 2/6/2002, 6001113, 4/4/2002, 21127796
68147, Дом, Строение, 300-РП, 3/13/2002, 6001292, 3/20/2002, 21127803
68149, Дом, Строение, 301-РП, 3/13/2002, 6001301, 3/20/2002, 21132684
68150, Дом, Строение, 407-РП, 4/8/2002, 6001129, 7/4/2002, 21132688
68157, Дом, Строение, 1876-РП, 12/19/2002, 6001582, 12/25/2002, 21122867
68159, Дом, Строение, 1878-РП, 12/19/2002, 6001581, 12/25/2002, 21122870
68184, Дом, Строение, 1165-РП, 7/3/2003, 6001792, 7/7/2003, 21121623
69017, Домовладение, Строение, 644-РП, 4/6/2005, 6304338, 3/27/2007, 21127812
69030, Дом, Строение, 941-РП, 5/16/2005, 6303002, 5/28/2005, 21127815
69039, Дом, Строение, 941-РП, 5/16/2005, 6302993, 5/28/2005, 21127823
69042, Домовладение, Строение, 944-РП, 5/16/2005, 6304344, 3/27/2007, 21125543
69044, Домовладение, Строение, 944-РП, 5/16/2005, 6304336, 3/27/2007, 21121630
69058, Дом, Строение, 941-РП, 5/16/2005, 6302958, 5/28/2005, 21132712
69064, Домовладение, Строение, 944-РП, 5/16/2005, 6304337, 3/27/2007, 21122883
69065, Домовладение, Строение, 945-РП, 5/16/2005, 6304249, 3/15/2007, 21125546
69073, Домовладение, Строение, 944-РП, 5/16/2005, 6304269, 3/19/2007, 21122890
69093, Домовладение, Строение, 1174-РП, 6/15/2005, 6304303, 3/21/2007, 21127830
69095, Домовладение, Строение, 944-РП, 5/16/2005, 6304223, 3/13/2007, 21121643
69099, Дом, Строение, 1662-РП, 7/15/2004, 6302061, 7/26/2004, 21132734
69111, Дом, Строение, 68-РЗП, 3/31/1999, 6300051, 3/31/1999, 21125554
69122, Домовладение, Строение, 645-РП, 4/6/2005, 6304270, 3/19/2007, 21132741
69124, Дом, Строение, 157-РП, 3/17/2000, 6300339, 3/17/2000, 21127835
69133, Дом, Строение, 159-РП, 3/17/2000, 6300343, 3/17/2000, 21121647
69137, Дом, Строение, 243-РП, 3/31/2000, 6300336, 3/31/2000, 21121651
69140, Дом, Строение, 161-РЗП, 6/30/1999, 6300058, 6/30/1999, 21127840
69144, Домовладение, Строение, 944-РП, 5/16/2005, 6304217, 3/13/2007, 21122898
69155, Домовладение, Строение, 944-РП, 5/16/2005, 6304321, 3/21/2007, 21122903
69158, Дом, Строение, 445-РЗП, 12/31/1999, 6300247, 12/31/1999, 21121655
69161, Дом, Строение, 447-РЗП, 12/31/1999, 6300250, 12/31/1999, 21131464
69162, Дом, Строение, 616-РП, 7/26/2000, 6300341, 7/26/2000, 21125563
69168, Домовладение, Строение, 1674-РП, 7/15/2004, 6304227, 3/13/2007, 21121658
69170, Дом, Строение, 453-РЗП, 12/31/1999, 6300201, 12/31/1999, 21122907
69172, Дом, Строение, 242-РП, 3/31/2000, 6300335, 3/31/2000, 21125570
69188, Дом, Строение, 90-РЗП, 3/31/2000, 6300330, 3/31/2000, 21121663
69190, Дом, Строение, , , 0, , 21121668
69191, Дом, Строение, , , 0, , 21181515
69196, Дом, Строение, 1362, 12/10/2001, 6300454, 2/20/2002, 21122911
69204, Дом, Строение, 414-РП, 3/14/2005, 6302795, 3/23/2005, 21218105
69230, Дом, Строение, 50-РЗП, 2/16/2001, 6300666, 2/16/2001, 21122928
69245, Домовладение, Строение, 1925-РП, 10/14/2003, 6304226, 3/13/2007, 21121671
69247, Домовладение, Строение, 2265-РП, 11/24/2003, 6304248, 3/15/2007, 21131486
69271, Дом, Строение, 352-РЗП, 7/5/2001, 6300938, 9/28/2001, 21131490
69278, Дом, Строение, 435-РЗП, 8/23/2001, 6300794, 8/23/2001, 21122940
69304, Дом, Строение, , , 0, , 21125579
69309, Дом, Строение, 382-РП, 8/11/2014, 6305121, 8/15/2014, 21150066
69313, Дом, Строение, 473-РЗП, 9/12/2001, 6300630, 9/12/2001, 21121683
69319, Дом, Строение, 476-РЗП, 9/12/2001, 6301006, 9/12/2001, 21131505
69321, Дом, Строение, 63-РЗП, 2/8/2002, 6301885, 10/31/2003, 21121692
69331, Дом, Строение, 485-РЗП, 9/12/2001, 6301032, 9/12/2001, 21131509
69336, Дом, Строение, 252-РП, 5/27/2013, 6305090, 6/4/2013, 21131430
69340, Дом, Строение, 941-РП, 5/16/2005, 6303111, 5/31/2005, 21131517
69342, Дом, Строение, 9-РП, 1/15/2007, 6304135, 1/22/2007, 21131522
69362, Дом, Строение, 546-РЗП, 9/28/2001, 6300663, 10/23/2001, 21123448
69366, Дом, Строение, 497-РП, 4/29/2002, 6301103, 5/14/2002, 21131533
69367, Дом, Строение, 609-РП, 5/17/2002, 6301273, 5/24/2002, 21131537
69370, Дом, Строение, 604-РП, 5/17/2002, 6301274, 5/24/2002, 21131541
69374, Домовладение, Строение, 1925-РП, 10/14/2003, 6304222, 3/13/2007, 21125725
69375, Домовладение, Строение, 1045-РП, 8/22/2002, 6304187, 2/26/2007, 21125730
69414, Дом, Строение, 1630-РП, 11/14/2002, 6301561, 12/6/2002, 21125591
69426, Дом, Строение, , , 0, , 21181520
69428, Дом, Строение, 2021-РП, 10/23/2003, 6301770, 10/30/2003, 21125595
69454, Дом, Строение, 1597-РП, 9/8/2003, 6301812, 9/22/2003, 21123459
69467, Дом, Строение, 1845-РП, 10/2/2003, 6301844, 10/14/2003, 21125761
69471, Дом, Строение, 1953-РП, 10/20/2003, 6301839, 10/27/2003, 21125765
70019, Дом, Строение, 591-РП, 4/28/2003, 6301797, 5/28/2003, 21123476
70036, Дом, Строение, 1670-РП, 7/15/2004, 6302163, 7/27/2004, 21123492
70050, Дом, Строение, 1668-РП, 7/15/2004, 6302223, 7/27/2004, 21123500
70069, Дом, Строение, 942-РП, 5/16/2005, 6303305, 5/31/2005, 21123513
70072, Дом, Строение, 1667-РП, 7/15/2004, 6302248, 7/27/2004, 21125786
70078, Дом, Строение, 1665-РП, 7/15/2004, 6302281, 7/27/2004, 21125790
70093, Дом, Строение, САР/8/15/Б, 3/18/2015, 0, 6/4/2005, 21218112
70109, Дом, Строение, 1667-РП, 7/15/2004, 6302256, 7/27/2004, 21125798
70113, Дом, Строение, 1667-РП, 7/15/2004, 6302246, 7/27/2004, 21125803
70117, Дом, Строение, 5355-p, 8/18/2004, 1007240, 9/24/2004, 21125600
70120, Дом, Строение, 1667-РП, 7/15/2004, 6302251, 7/27/2004, 21125808
70123, Дом, Строение, 1669-РП, 7/15/2004, 6302212, 7/27/2004, 21125603
70134, Дом, Строение, 649-РП, 4/6/2005, 6004360, 4/15/2005, 21125608
70150, Дом, Строение, 1663-РП, 7/15/2004, 6302090, 7/26/2004, 21125611
70153, Дом, Строение, 1661-РП, 7/15/2004, 6302032, 7/26/2004, 21125820
70208, Дом, Строение, 5355-p, 8/18/2004, 1007260, 9/24/2004, 21218116
70215, Дом, Строение, 4862-р, 9/18/2002, 1001834, 10/22/2002, 21125851
70244, Дом, Строение, 1102-ур, 11/27/1997, 1000153, 2/3/2000, 21123538
70254, Дом, Строение, 3060-РП, 12/30/2004, 6302464, 1/19/2005, 21125860
70255, Дом, Строение, 3060-РП, 12/30/2004, 6302468, 1/19/2005, 21123546
70259, Дом, Строение, 3060-РП, 12/30/2004, 6302451, 1/19/2005, 21125864
70262, Дом, Строение, 3060-РП, 12/30/2004, 6302470, 1/19/2005, 21125619
70288, Дом, Строение, 3060-РП, 12/30/2004, 6302465, 1/19/2005, 21125881
70293, Дом, Строение, 941-РП, 5/16/2005, 6303605, 7/8/2005, 21125885
70303, Дом, Строение, 2445-РП, 11/24/2005, 6303780, 12/12/2005, 21123551
70305, Дом, Строение, 3060-РП, 12/30/2004, 6302454, 1/19/2005, 21125890
